03/03: GEK10027 Lec 1, 03/02 (Day)
04/02: ECE20010 Lec 8, 03/26 (Week)
04/02: ECE20051 Lec 9, 04/01 (Day)
04/02: ECE20057 Lec 9, 04/01 (Day)
04/02: ITP20004 Lec 9, 04/01 (Day)
04/03: GEK10027 Lec 10, 04/02 (Day)
04/03: ECE20010 Lec 10, 04/02 (Day)
04/05: ECE20051 Lec 2, 03/08 (Month)
04/05: ECE20057 Lec 2, 03/08 (Month)
04/05: ITP20004 Lec 2, 03/08 (Month)
04/05: ECE20051 Lec 8, 03/29 (Week)
04/05: ECE20057 Lec 8, 03/29 (Week)
04/05: ITP20004 Lec 8, 03/29 (Week)
04/06: GEK10027 Lec 3, 03/09 (Month)
04/06: ECE20007 Lec 2, 03/09 (Month)
04/06: ECE20010 Lec 3, 03/09 (Month)
04/06: GEK10027 Lec 9, 03/30 (Week)
04/06: ECE20007 Lec 5, 03/30 (Week)
04/06: ECE20010 Lec 9, 03/30 (Week)
04/06: ECE20051 Lec 10, 04/05 (Day)
04/06: ECE20057 Lec 10, 04/05 (Day)
04/06: ITP20004 Lec 10, 04/05 (Day)
04/07: GEK10027 Lec 11, 04/06 (Day)
04/07: ECE20007 Lec 6, 04/06 (Day)
04/07: ECE20010 Lec 11, 04/06 (Day)
04/08: ECE20051 Lec 3, 03/11 (Month)
04/08: ECE20057 Lec 3, 03/11 (Month)
04/08: ITP20004 Lec 3, 03/11 (Month)
04/08: ECE20051 Lec 9, 04/01 (Week)
04/08: ECE20057 Lec 9, 04/01 (Week)
04/08: ITP20004 Lec 9, 04/01 (Week)
04/09: GEK10027 Lec 4, 03/12 (Month)
04/09: ECE20010 Lec 4, 03/12 (Month)
04/09: GEK10027 Lec 10, 04/02 (Week)
04/09: ECE20010 Lec 10, 04/02 (Week)
04/09: ECE20051 Lec 11, 04/08 (Day)
04/09: ECE20057 Lec 11, 04/08 (Day)
04/09: ITP20004 Lec 11, 04/08 (Day)
04/10: GEK10027 Lec 12, 04/09 (Day)
04/10: ECE20010 Lec 12, 04/09 (Day)
04/12: ECE20051 Lec 4, 03/15 (Month)
04/12: ECE20057 Lec 4, 03/15 (Month)
04/12: ITP20004 Lec 4, 03/15 (Month)
04/12: ECE20051 Lec 10, 04/05 (Week)
04/12: ECE20057 Lec 10, 04/05 (Week)
04/12: ITP20004 Lec 10, 04/05 (Week)
04/13: GEK10027 Lec 5, 03/16 (Month)
04/13: ECE20007 Lec 3, 03/16 (Month)
04/13: ECE20010 Lec 5, 03/16 (Month)
04/13: GEK10027 Lec 11, 04/06 (Week)
04/13: ECE20007 Lec 6, 04/06 (Week)
04/13: ECE20010 Lec 11, 04/06 (Week)
04/13: ECE20051 Lec 12, 04/12 (Day)
04/13: ECE20057 Lec 12, 04/12 (Day)
04/13: ITP20004 Lec 12, 04/12 (Day)
04/14: GEK10027 Lec 13, 04/13 (Day)
04/14: ECE20007 Lec 7, 04/13 (Day)
04/14: ECE20010 Lec 13, 04/13 (Day)
04/15: ECE20051 Lec 5, 03/18 (Month)
04/15: ECE20057 Lec 5, 03/18 (Month)
04/15: ITP20004 Lec 5, 03/18 (Month)
04/15: ECE20051 Lec 11, 04/08 (Week)
04/15: ECE20057 Lec 11, 04/08 (Week)
04/15: ITP20004 Lec 11, 04/08 (Week)
04/16: GEK10027 Lec 6, 03/19 (Month)
04/16: ECE20010 Lec 6, 03/19 (Month)
04/16: GEK10027 Lec 12, 04/09 (Week)
04/16: ECE20010 Lec 12, 04/09 (Week)
04/16: ECE20051 Lec 13, 04/15 (Day)
04/16: ECE20057 Lec 13, 04/15 (Day)
04/16: ITP20004 Lec 13, 04/15 (Day)
04/17: GEK10027 Lec 14, 04/16 (Day)
04/17: ECE20010 Lec 14, 04/16 (Day)
04/19: ECE20051 Lec 6, 03/22 (Month)
04/19: ECE20057 Lec 6, 03/22 (Month)
04/19: ITP20004 Lec 6, 03/22 (Month)
04/19: ECE20051 Lec 12, 04/12 (Week)
04/19: ECE20057 Lec 12, 04/12 (Week)
04/19: ITP20004 Lec 12, 04/12 (Week)
04/20: GEK10027 Lec 7, 03/23 (Month)
04/20: ECE20007 Lec 4, 03/23 (Month)
04/20: ECE20010 Lec 7, 03/23 (Month)
04/20: GEK10027 Lec 13, 04/13 (Week)
04/20: ECE20007 Lec 7, 04/13 (Week)
04/20: ECE20010 Lec 13, 04/13 (Week)
04/20: ECE20051 Lec 14, 04/19 (Day)
04/20: ECE20057 Lec 14, 04/19 (Day)
04/20: ITP20004 Lec 14, 04/19 (Day)
04/21: GEK10027 Lec 15, 04/20 (Day)
04/21: ECE20007 Lec 8, 04/20 (Day)
04/21: ECE20010 Lec 15, 04/20 (Day)
04/22: ECE20051 Lec 7, 03/25 (Month)
04/22: ECE20057 Lec 7, 03/25 (Month)
04/22: ITP20004 Lec 7, 03/25 (Month)
04/22: ECE20051 Lec 13, 04/15 (Week)
04/22: ECE20057 Lec 13, 04/15 (Week)
04/22: ITP20004 Lec 13, 04/15 (Week)
04/23: GEK10027 Lec 8, 03/26 (Month)
04/23: ECE20010 Lec 8, 03/26 (Month)
04/23: GEK10027 Lec 14, 04/16 (Week)
04/23: ECE20010 Lec 14, 04/16 (Week)
04/23: ECE20051 Lec 15, 04/22 (Day)
04/23: ECE20057 Lec 15, 04/22 (Day)
04/23: ITP20004 Lec 15, 04/22 (Day)
04/24: GEK10027 Lec 16, 04/23 (Day)
04/24: ECE20010 Lec 16, 04/23 (Day)
04/26: ECE20051 Lec 8, 03/29 (Month)
04/26: ECE20057 Lec 8, 03/29 (Month)
04/26: ITP20004 Lec 8, 03/29 (Month)
04/26: ECE20051 Lec 14, 04/19 (Week)
04/26: ECE20057 Lec 14, 04/19 (Week)
04/26: ITP20004 Lec 14, 04/19 (Week)
04/27: GEK10027 Lec 9, 03/30 (Month)
04/27: ECE20007 Lec 5, 03/30 (Month)
04/27: ECE20010 Lec 9, 03/30 (Month)
04/27: GEK10027 Lec 15, 04/20 (Week)
04/27: ECE20007 Lec 8, 04/20 (Week)
04/27: ECE20010 Lec 15, 04/20 (Week)
04/27: ECE20051 Lec 16, 04/26 (Day)
04/27: ECE20057 Lec 16, 04/26 (Day)
04/27: ITP20004 Lec 16, 04/26 (Day)
04/28: GEK10027 Lec 17, 04/27 (Day)
04/28: ECE20007 Lec 9, 04/27 (Day)
04/28: ECE20010 Lec 17, 04/27 (Day)
04/29: ECE20051 Lec 9, 04/01 (Month)
04/29: ECE20057 Lec 9, 04/01 (Month)
04/29: ITP20004 Lec 9, 04/01 (Month)
04/29: ECE20051 Lec 15, 04/22 (Week)
04/29: ECE20057 Lec 15, 04/22 (Week)
04/29: ITP20004 Lec 15, 04/22 (Week)
04/30: GEK10027 Lec 10, 04/02 (Month)
04/30: ECE20010 Lec 10, 04/02 (Month)
04/30: GEK10027 Lec 16, 04/23 (Week)
04/30: ECE20010 Lec 16, 04/23 (Week)
04/30: ECE20051 Lec 17, 04/29 (Day)
04/30: ECE20057 Lec 17, 04/29 (Day)
04/30: ITP20004 Lec 17, 04/29 (Day)
05/01: GEK10027 Lec 18, 04/30 (Day)
05/01: ECE20010 Lec 18, 04/30 (Day)
05/03: ECE20051 Lec 10, 04/05 (Month)
05/03: ECE20057 Lec 10, 04/05 (Month)
05/03: ITP20004 Lec 10, 04/05 (Month)
05/03: ECE20051 Lec 16, 04/26 (Week)
05/03: ECE20057 Lec 16, 04/26 (Week)
05/03: ITP20004 Lec 16, 04/26 (Week)
05/04: GEK10027 Lec 11, 04/06 (Month)
05/04: ECE20007 Lec 6, 04/06 (Month)
05/04: ECE20010 Lec 11, 04/06 (Month)
05/04: GEK10027 Lec 17, 04/27 (Week)
05/04: ECE20007 Lec 9, 04/27 (Week)
05/04: ECE20010 Lec 17, 04/27 (Week)
05/04: ECE20051 Lec 18, 05/03 (Day)
05/04: ECE20057 Lec 18, 05/03 (Day)
05/04: ITP20004 Lec 18, 05/03 (Day)
05/05: GEK10027 Lec 19, 05/04 (Day)
05/05: ECE20007 Lec 10, 05/04 (Day)
05/05: ECE20010 Lec 19, 05/04 (Day)
05/06: ECE20051 Lec 11, 04/08 (Month)
05/06: ECE20057 Lec 11, 04/08 (Month)
05/06: ITP20004 Lec 11, 04/08 (Month)
05/06: ECE20051 Lec 17, 04/29 (Week)
05/06: ECE20057 Lec 17, 04/29 (Week)
05/06: ITP20004 Lec 17, 04/29 (Week)
05/07: GEK10027 Lec 12, 04/09 (Month)
05/07: ECE20010 Lec 12, 04/09 (Month)
05/07: GEK10027 Lec 18, 04/30 (Week)
05/07: ECE20010 Lec 18, 04/30 (Week)
05/07: ECE20051 Lec 19, 05/06 (Day)
05/07: ECE20057 Lec 19, 05/06 (Day)
05/07: ITP20004 Lec 19, 05/06 (Day)
05/08: GEK10027 Lec 20, 05/07 (Day)
05/08: ECE20010 Lec 20, 05/07 (Day)
05/10: ECE20051 Lec 12, 04/12 (Month)
05/10: ECE20057 Lec 12, 04/12 (Month)
05/10: ITP20004 Lec 12, 04/12 (Month)
05/10: ECE20051 Lec 18, 05/03 (Week)
05/10: ECE20057 Lec 18, 05/03 (Week)
05/10: ITP20004 Lec 18, 05/03 (Week)
05/11: GEK10027 Lec 13, 04/13 (Month)
05/11: ECE20007 Lec 7, 04/13 (Month)
05/11: ECE20010 Lec 13, 04/13 (Month)
05/11: GEK10027 Lec 19, 05/04 (Week)
05/11: ECE20007 Lec 10, 05/04 (Week)
05/11: ECE20010 Lec 19, 05/04 (Week)
05/11: ECE20051 Lec 20, 05/10 (Day)
05/11: ECE20057 Lec 20, 05/10 (Day)
05/11: ITP20004 Lec 20, 05/10 (Day)
05/12: GEK10027 Lec 21, 05/11 (Day)
05/12: ECE20007 Lec 11, 05/11 (Day)
05/12: ECE20010 Lec 21, 05/11 (Day)
05/13: ECE20051 Lec 13, 04/15 (Month)
05/13: ECE20057 Lec 13, 04/15 (Month)
05/13: ITP20004 Lec 13, 04/15 (Month)
05/13: ECE20051 Lec 19, 05/06 (Week)
05/13: ECE20057 Lec 19, 05/06 (Week)
05/13: ITP20004 Lec 19, 05/06 (Week)
05/14: GEK10027 Lec 14, 04/16 (Month)
05/14: ECE20010 Lec 14, 04/16 (Month)
05/14: GEK10027 Lec 20, 05/07 (Week)
05/14: ECE20010 Lec 20, 05/07 (Week)
05/14: ECE20051 Lec 21, 05/13 (Day)
05/14: ECE20057 Lec 21, 05/13 (Day)
05/14: ITP20004 Lec 21, 05/13 (Day)
05/15: GEK10027 Lec 22, 05/14 (Day)
05/15: ECE20010 Lec 22, 05/14 (Day)
05/17: ECE20051 Lec 14, 04/19 (Month)
05/17: ECE20057 Lec 14, 04/19 (Month)
05/17: ITP20004 Lec 14, 04/19 (Month)
05/17: ECE20051 Lec 20, 05/10 (Week)
05/17: ECE20057 Lec 20, 05/10 (Week)
05/17: ITP20004 Lec 20, 05/10 (Week)
05/18: GEK10027 Lec 15, 04/20 (Month)
05/18: ECE20007 Lec 8, 04/20 (Month)
05/18: ECE20010 Lec 15, 04/20 (Month)
05/18: GEK10027 Lec 21, 05/11 (Week)
05/18: ECE20007 Lec 11, 05/11 (Week)
05/18: ECE20010 Lec 21, 05/11 (Week)
05/18: ECE20051 Lec 22, 05/17 (Day)
05/18: ECE20057 Lec 22, 05/17 (Day)
05/18: ITP20004 Lec 22, 05/17 (Day)
05/19: GEK10027 Lec 23, 05/18 (Day)
05/19: ECE20007 Lec 12, 05/18 (Day)
05/19: ECE20010 Lec 23, 05/18 (Day)
05/20: ECE20051 Lec 15, 04/22 (Month)
05/20: ECE20057 Lec 15, 04/22 (Month)
05/20: ITP20004 Lec 15, 04/22 (Month)
05/20: ECE20051 Lec 21, 05/13 (Week)
05/20: ECE20057 Lec 21, 05/13 (Week)
05/20: ITP20004 Lec 21, 05/13 (Week)
05/21: GEK10027 Lec 16, 04/23 (Month)
05/21: ECE20010 Lec 16, 04/23 (Month)
05/21: GEK10027 Lec 22, 05/14 (Week)
05/21: ECE20010 Lec 22, 05/14 (Week)
05/21: ECE20051 Lec 23, 05/20 (Day)
05/21: ECE20057 Lec 23, 05/20 (Day)
05/21: ITP20004 Lec 23, 05/20 (Day)
05/22: GEK10027 Lec 24, 05/21 (Day)
05/22: ECE20010 Lec 24, 05/21 (Day)
05/24: ECE20051 Lec 16, 04/26 (Month)
05/24: ECE20057 Lec 16, 04/26 (Month)
05/24: ITP20004 Lec 16, 04/26 (Month)
05/24: ECE20051 Lec 22, 05/17 (Week)
05/24: ECE20057 Lec 22, 05/17 (Week)
05/24: ITP20004 Lec 22, 05/17 (Week)
05/25: GEK10027 Lec 17, 04/27 (Month)
05/25: ECE20007 Lec 9, 04/27 (Month)
05/25: ECE20010 Lec 17, 04/27 (Month)
05/25: GEK10027 Lec 23, 05/18 (Week)
05/25: ECE20007 Lec 12, 05/18 (Week)
05/25: ECE20010 Lec 23, 05/18 (Week)
05/25: ECE20051 Lec 24, 05/24 (Day)
05/25: ECE20057 Lec 24, 05/24 (Day)
05/25: ITP20004 Lec 24, 05/24 (Day)
05/26: GEK10027 Lec 25, 05/25 (Day)
05/26: ECE20007 Lec 13, 05/25 (Day)
05/26: ECE20010 Lec 25, 05/25 (Day)
05/27: ECE20051 Lec 17, 04/29 (Month)
05/27: ECE20057 Lec 17, 04/29 (Month)
05/27: ITP20004 Lec 17, 04/29 (Month)
05/27: ECE20051 Lec 23, 05/20 (Week)
05/27: ECE20057 Lec 23, 05/20 (Week)
05/27: ITP20004 Lec 23, 05/20 (Week)
05/28: GEK10027 Lec 18, 04/30 (Month)
05/28: ECE20010 Lec 18, 04/30 (Month)
05/28: GEK10027 Lec 24, 05/21 (Week)
05/28: ECE20010 Lec 24, 05/21 (Week)
05/28: ECE20051 Lec 25, 05/27 (Day)
05/28: ECE20057 Lec 25, 05/27 (Day)
05/28: ITP20004 Lec 25, 05/27 (Day)
05/29: GEK10027 Lec 26, 05/28 (Day)
05/29: ECE20010 Lec 26, 05/28 (Day)
05/31: ECE20051 Lec 18, 05/03 (Month)
05/31: ECE20057 Lec 18, 05/03 (Month)
05/31: ITP20004 Lec 18, 05/03 (Month)
05/31: ECE20051 Lec 24, 05/24 (Week)
05/31: ECE20057 Lec 24, 05/24 (Week)
05/31: ITP20004 Lec 24, 05/24 (Week)
06/01: GEK10027 Lec 19, 05/04 (Month)
06/01: ECE20007 Lec 10, 05/04 (Month)
06/01: ECE20010 Lec 19, 05/04 (Month)
06/01: GEK10027 Lec 25, 05/25 (Week)
06/01: ECE20007 Lec 13, 05/25 (Week)
06/01: ECE20010 Lec 25, 05/25 (Week)
06/01: ECE20051 Lec 26, 05/31 (Day)
06/01: ECE20057 Lec 26, 05/31 (Day)
06/01: ITP20004 Lec 26, 05/31 (Day)
06/02: GEK10027 Lec 27, 06/01 (Day)
06/02: ECE20007 Lec 14, 06/01 (Day)
06/02: ECE20010 Lec 27, 06/01 (Day)
06/03: ECE20051 Lec 19, 05/06 (Month)
06/03: ECE20057 Lec 19, 05/06 (Month)
06/03: ITP20004 Lec 19, 05/06 (Month)
06/03: ECE20051 Lec 25, 05/27 (Week)
06/03: ECE20057 Lec 25, 05/27 (Week)
06/03: ITP20004 Lec 25, 05/27 (Week)
06/04: GEK10027 Lec 20, 05/07 (Month)
06/04: ECE20010 Lec 20, 05/07 (Month)
06/04: GEK10027 Lec 26, 05/28 (Week)
06/04: ECE20010 Lec 26, 05/28 (Week)
06/04: ECE20051 Lec 27, 06/03 (Day)
06/04: ECE20057 Lec 27, 06/03 (Day)
06/04: ITP20004 Lec 27, 06/03 (Day)
06/05: GEK10027 Lec 28, 06/04 (Day)
06/05: ECE20010 Lec 28, 06/04 (Day)
06/07: ECE20051 Lec 20, 05/10 (Month)
06/07: ECE20057 Lec 20, 05/10 (Month)
06/07: ITP20004 Lec 20, 05/10 (Month)
06/07: ECE20051 Lec 26, 05/31 (Week)
06/07: ECE20057 Lec 26, 05/31 (Week)
06/07: ITP20004 Lec 26, 05/31 (Week)
06/08: GEK10027 Lec 21, 05/11 (Month)
06/08: ECE20007 Lec 11, 05/11 (Month)
06/08: ECE20010 Lec 21, 05/11 (Month)
06/08: GEK10027 Lec 27, 06/01 (Week)
06/08: ECE20007 Lec 14, 06/01 (Week)
06/08: ECE20010 Lec 27, 06/01 (Week)
06/08: ECE20051 Lec 28, 06/07 (Day)
06/08: ECE20057 Lec 28, 06/07 (Day)
06/08: ITP20004 Lec 28, 06/07 (Day)
06/09: GEK10027 Lec 29, 06/08 (Day)
06/09: ECE20007 Lec 15, 06/08 (Day)
06/09: ECE20010 Lec 29, 06/08 (Day)
06/10: ECE20051 Lec 21, 05/13 (Month)
06/10: ECE20057 Lec 21, 05/13 (Month)
06/10: ITP20004 Lec 21, 05/13 (Month)
06/10: ECE20051 Lec 27, 06/03 (Week)
06/10: ECE20057 Lec 27, 06/03 (Week)
06/10: ITP20004 Lec 27, 06/03 (Week)
06/11: GEK10027 Lec 22, 05/14 (Month)
06/11: ECE20010 Lec 22, 05/14 (Month)
06/11: GEK10027 Lec 28, 06/04 (Week)
06/11: ECE20010 Lec 28, 06/04 (Week)
06/11: ECE20051 Lec 29, 06/10 (Day)
06/11: ECE20057 Lec 29, 06/10 (Day)
06/11: ITP20004 Lec 29, 06/10 (Day)
06/14: ECE20051 Lec 22, 05/17 (Month)
06/14: ECE20057 Lec 22, 05/17 (Month)
06/14: ITP20004 Lec 22, 05/17 (Month)
06/14: ECE20051 Lec 28, 06/07 (Week)
06/14: ECE20057 Lec 28, 06/07 (Week)
06/14: ITP20004 Lec 28, 06/07 (Week)
06/15: GEK10027 Lec 23, 05/18 (Month)
06/15: ECE20007 Lec 12, 05/18 (Month)
06/15: ECE20010 Lec 23, 05/18 (Month)
06/15: GEK10027 Lec 29, 06/08 (Week)
06/15: ECE20007 Lec 15, 06/08 (Week)
06/15: ECE20010 Lec 29, 06/08 (Week)
06/17: ECE20051 Lec 23, 05/20 (Month)
06/17: ECE20057 Lec 23, 05/20 (Month)
06/17: ITP20004 Lec 23, 05/20 (Month)
06/17: ECE20051 Lec 29, 06/10 (Week)
06/17: ECE20057 Lec 29, 06/10 (Week)
06/17: ITP20004 Lec 29, 06/10 (Week)
06/18: GEK10027 Lec 24, 05/21 (Month)
06/18: ECE20010 Lec 24, 05/21 (Month)
06/21: ECE20051 Lec 24, 05/24 (Month)
06/21: ECE20057 Lec 24, 05/24 (Month)
06/21: ITP20004 Lec 24, 05/24 (Month)
06/22: GEK10027 Lec 25, 05/25 (Month)
06/22: ECE20007 Lec 13, 05/25 (Month)
06/22: ECE20010 Lec 25, 05/25 (Month)
06/24: ECE20051 Lec 25, 05/27 (Month)
06/24: ECE20057 Lec 25, 05/27 (Month)
06/24: ITP20004 Lec 25, 05/27 (Month)
06/25: GEK10027 Lec 26, 05/28 (Month)
06/25: ECE20010 Lec 26, 05/28 (Month)
06/28: ECE20051 Lec 26, 05/31 (Month)
06/28: ECE20057 Lec 26, 05/31 (Month)
06/28: ITP20004 Lec 26, 05/31 (Month)
06/29: GEK10027 Lec 27, 06/01 (Month)
06/29: ECE20007 Lec 14, 06/01 (Month)
06/29: ECE20010 Lec 27, 06/01 (Month)
07/01: ECE20051 Lec 27, 06/03 (Month)
07/01: ECE20057 Lec 27, 06/03 (Month)
07/01: ITP20004 Lec 27, 06/03 (Month)
07/02: GEK10027 Lec 28, 06/04 (Month)
07/02: ECE20010 Lec 28, 06/04 (Month)
07/05: ECE20051 Lec 28, 06/07 (Month)
07/05: ECE20057 Lec 28, 06/07 (Month)
07/05: ITP20004 Lec 28, 06/07 (Month)
07/06: GEK10027 Lec 29, 06/08 (Month)
07/06: ECE20007 Lec 15, 06/08 (Month)
07/06: ECE20010 Lec 29, 06/08 (Month)
07/08: ECE20051 Lec 29, 06/10 (Month)
07/08: ECE20057 Lec 29, 06/10 (Month)
07/08: ITP20004 Lec 29, 06/10 (Month)
